calc_score,humidity,cloud_cover,visibility,user_score,lat,long,date_time,image_url
5.185,69.53,23.1,16.0,,40.572990,-73.979318,2012-11-22 17:25:57,https://live.staticflickr.com/8343/8209101267_8dfb773784_b.jpg
6.431,87.16,96.5,26.8,,56.596546,16.410140,2013-06-26 18:35:56,https://live.staticflickr.com/7353/9145346220_57291fb342_b.jpg
3.71,57.42,0.0,10.0,,45.431647,12.330608,2015-02-18 17:32:49,https://live.staticflickr.com/8622/16497481019_14f8920baa_b.jpg
5.806,66.4,0.0,16.0,,46.553445,-124.061222,2011-12-22 16:48:45,https://live.staticflickr.com/7150/6557471091_3b04038131_b.jpg
3.346,64.06,0.0,10.0,,-36.957470,175.245366,2017-05-02 17:52:36,https://live.staticflickr.com/4284/34935388130_0fde61bf74_b.jpg
2.775,39.34,0.0,10.0,,-43.879872,172.976125,2016-02-27 20:17:08,https://live.staticflickr.com/5452/30626384664_ae4cf47e58_b.jpg
8.307,87.26,25.2,16.0,,38.123433,-92.637856,2016-06-01 20:40:32,https://live.staticflickr.com/7409/27430887712_b14f4bbd67_b.jpg
1.117,47.04,78.0,24.3,,69.294772,-51.121795,2017-07-24 00:33:41,https://live.staticflickr.com/888/27391059038_0ae7742a32_b.jpg
4.264,45.66,0.0,16.0,,40.662549,-73.970689,2008-10-26 17:20:30,https://live.staticflickr.com/3164/2975925617_46ab3295e8_b.jpg
6.591,78.13,0.0,16.0,,30.289458,-87.481985,2008-11-25 17:41:33,https://live.staticflickr.com/3273/3060229402_decc9df376_b.jpg
3.123,75.77,79.8,8.6,,36.023279,-5.615386,2011-04-15 20:03:36,https://live.staticflickr.com/3392/5844013688_65599a94b2_b.jpg
0.045,75.41,1.1,16.0,,39.801048,-89.643600,2011-06-13 06:35:46,https://live.staticflickr.com/2727/5845361059_a5ef5578ca_b.jpg
1.184,81.86,89.0,10.5,,2.811971,101.417541,2012-05-01 18:19:18,https://live.staticflickr.com/7223/7134810085_4bfa02b4ca_b.jpg
0.499,76.68,25.1,16.0,,31.272488,-94.321762,2015-04-10 19:54:34,https://live.staticflickr.com/5701/31305412285_b158628713_b.jpg
1.536,72.81,54.0,1.0,,44.090358,10.469389,2014-05-20 19:36:29,https://live.staticflickr.com/3798/14254187301_abec54b041_b.jpg
5.729,28.41,0.0,16.0,,36.878830,-111.512808,2011-01-26 16:34:09,https://live.staticflickr.com/8205/8289074376_562559a412_b.jpg
1.266,53.72,3.9,15.8,,35.537499,-105.949348,2005-02-23 16:57:47,https://live.staticflickr.com/1280/1358409273_8c225e2294_b.jpg
6.89,45.06,0.0,10.0,,51.403002,7.033605,2010-06-25 21:02:06,https://live.staticflickr.com/4139/4747012008_a0bd7d423e_b.jpg
5.5,77.7,0.0,14.5,,33.541287,-117.783050,2008-03-26 20:51:47,https://live.staticflickr.com/2277/2385815395_f12fc2123b_b.jpg
6.902,76.19,0.0,10.0,,53.564196,9.754292,2010-10-08 17:06:50,https://live.staticflickr.com/4087/5065747658_8003776ba6_b.jpg
4.649,68.47,0.0,16.0,,27.268820,-82.559509,2014-05-06 20:04:02,https://live.staticflickr.com/7445/13943655719_5a6ee1f1ee_b.jpg
6.339,64.46,0.0,52.5,,55.611711,12.972300,2016-07-22 20:44:43,https://live.staticflickr.com/8072/28649520825_f272eb650b_b.jpg
1.771,80.48,0.0,42.4,,52.409839,-4.070499,2010-02-11 18:06:54,https://live.staticflickr.com/2719/4349810484_a334828e1b_b.jpg
6.687,57.76,10.6,10.0,,31.928854,34.697999,2015-04-30 18:22:38,https://live.staticflickr.com/7790/17205070010_160b7027a2_b.jpg
7.355,57.62,30.5,10.5,,37.754905,26.976459,2014-06-08 20:17:34,https://live.staticflickr.com/7299/16475122781_7d83c8c418_b.jpg
2.203,45.48,0.0,10.0,,-32.022203,115.752800,2016-01-21 19:09:27,https://live.staticflickr.com/1629/24630609842_65357d5382_b.jpg
3.447,74.47,9.2,12.4,,50.497104,-4.026274,2007-04-29 07:44:35,https://live.staticflickr.com/200/477258705_d0d134a7eb_b.jpg
0.745,29.3,0.0,16.0,,48.528675,-113.992494,2016-07-15 20:30:45,https://live.staticflickr.com/65535/42810278402_1c91b64874_b.jpg
5.895,86.61,0.0,4.0,,19.228176,81.661376,2006-12-17 22:10:55,https://live.staticflickr.com/142/324842491_e7d4f6e0df_b.jpg
1.792,69.0,0.0,16.0,,25.331071,-80.999493,2012-06-12 21:03:21,https://live.staticflickr.com/7225/7379442466_f35961afda_b.jpg
7.085,48.31,29.3,10.0,,-23.633005,-46.606503,2016-12-27 19:51:52,https://live.staticflickr.com/318/31169363033_f599e97109_b.jpg
7.37,59.54,99.3,16.0,,41.549109,-81.611789,2010-09-29 18:17:19,https://live.staticflickr.com/4149/5038233821_cce938c638_b.jpg
3.006,46.9,0.0,16.0,,41.837605,-103.699350,2010-08-24 20:00:52,https://live.staticflickr.com/4146/4972193825_c0fb651166_b.jpg
3.007,78.41,0.0,16.0,,37.822602,-122.428584,2007-01-07 19:06:09,https://live.staticflickr.com/194/470598071_2d564b67d2_b.jpg
5.609,80.96,86.7,10.5,,55.641767,37.735397,2011-02-08 08:58:33,https://live.staticflickr.com/5299/5430182192_a0ab49e300_b.jpg
5.641,69.52,89.0,10.5,,25.120457,121.501386,2011-08-31 17:40:38,https://live.staticflickr.com/6064/6100784846_c611f947e5_b.jpg
3.484,29.99,88.3,21.3,,40.395979,-111.761287,2012-08-05 18:56:32,https://live.staticflickr.com/8439/7816022392_72e9790f15_b.jpg
4.235,71.05,5.4,48.3,,52.919098,0.948472,2019-06-14 20:55:23,https://live.staticflickr.com/65535/48107208123_6896ab4054_b.jpg
0.958,93.43,81.1,10.0,,58.876396,5.592985,2014-03-06 22:09:23,https://live.staticflickr.com/7418/12976626515_ca784a41c3_b.jpg
0.873,75.59,87.7,11.0,,28.400583,-16.332614,2009-01-26 17:16:40,https://live.staticflickr.com/3263/3232309670_0c206b004d_b.jpg
4.677,75.01,37.0,16.0,,35.578871,-121.104698,2016-07-01 00:52:19,https://live.staticflickr.com/7385/27934560942_a6b5210622_b.jpg
5.268,64.67,26.1,31.2,,50.622295,-2.273312,2009-09-11 19:19:02,https://live.staticflickr.com/3511/3918708681_b85f77ff0f_b.jpg
6.169,68.16,6.4,24.3,,50.284588,-3.898301,2016-05-25 20:45:05,https://live.staticflickr.com/7422/27459149252_48f479c9f9_b.jpg
7.66,58.13,0.0,10.0,,21.597108,39.106694,2009-03-07 18:37:34,https://live.staticflickr.com/3309/3509810843_d11a0ace48_b.jpg
3.735,54.09,0.0,10.0,,36.383805,25.481683,2016-08-14 18:46:13,https://live.staticflickr.com/379/32097221501_e985c10a88_b.jpg
1.616,56.98,12.1,36.3,,60.708986,28.738346,2016-09-08 17:27:23,https://live.staticflickr.com/5541/30765831732_a69332035b_b.jpg
1.464,72.33,76.7,16.0,,35.179982,-106.434860,2012-07-05 00:59:55,https://live.staticflickr.com/8290/7577140690_cfa5a745e9_b.jpg
5.785,22.36,0.0,16.0,,36.934937,-111.485631,2007-09-15 03:21:32,https://live.staticflickr.com/2143/1498011746_ac707c5f3b_b.jpg
4.755,62.5,0.0,14.0,,43.194166,-81.986667,2017-09-16 19:09:57,https://live.staticflickr.com/4365/37140031331_b7167656d2_b.jpg
3.352,41.95,11.4,49.7,,57.119806,-2.846091,2020-01-19 14:50:29,https://live.staticflickr.com/65535/49484194757_9a30acd0ab_b.jpg
3.335,79.2,90.0,11.0,,4.167520,73.496303,2006-04-29 17:36:55,https://live.staticflickr.com/158/386755590_ad4de4431a_b.jpg
6.607,69.49,0.0,16.0,,43.949513,-79.429587,2010-08-18 20:04:34,https://live.staticflickr.com/4112/5004095231_4ce5bb619f_b.jpg
0.508,92.93,88.4,26.1,,54.771569,-7.115425,2014-07-16 08:14:56,https://live.staticflickr.com/5561/14771150746_ab6f79678c_b.jpg
9.567,82.29,1.5,12.2,,50.510377,-5.028262,2009-05-24 21:33:59,https://live.staticflickr.com/3610/3589140903_b42a4d9fda_b.jpg
1.974,55.08,0.0,46.7,,60.192700,24.871716,2010-07-17 21:20:00,https://live.staticflickr.com/4139/4814370619_b990e9e445_b.jpg
6.407,64.07,0.0,23.0,,49.300590,-0.074689,2014-05-17 20:35:15,https://live.staticflickr.com/5031/14204376941_3f98f08bd8_b.jpg
5.114,89.21,90.9,25.2,,48.475686,-4.769229,2014-10-01 19:57:22,https://live.staticflickr.com/5597/15259769940_b239da164b_b.jpg
2.366,89.21,90.9,25.2,,25.331071,-80.999493,2012-03-09 22:31:58,https://live.staticflickr.com/7062/6834940300_d82db9b647_b.jpg
2.641,92.57,93.9,13.0,,36.074311,-112.154982,2011-04-06 21:57:46,https://live.staticflickr.com/5266/5597212788_4502d2d163_b.jpg
2.839,46.12,44.6,10.6,,39.335890,8.416643,2010-09-19 18:01:15,https://live.staticflickr.com/1611/24519843330_db0e977975_b.jpg
0.723,46.12,44.6,10.6,,64.059136,-22.000980,2012-06-04 23:56:57,https://live.staticflickr.com/7098/7343523286_b5720408e5_b.jpg
1.581,14.69,50.0,5.0,,26.963693,75.773735,2011-04-16 17:51:40,https://live.staticflickr.com/5143/5630444538_c05e54a28d_b.jpg
1.923,78.13,48.2,22.9,,47.654238,13.002975,2017-07-27 20:08:29,https://live.staticflickr.com/4633/27759313549_93c0ff0852_b.jpg
4.427,74.64,89.0,10.5,,6.300155,99.854693,2012-11-15 19:15:06,https://live.staticflickr.com/8060/8216429675_ca330bb89a_b.jpg
4.009,71.66,3.5,14.8,,19.571619,-155.967323,2015-01-19 17:49:29,https://live.staticflickr.com/7350/16390829169_143dddb065_b.jpg
5.916,76.04,100.0,10.5,,53.176103,4.839649,2013-02-09 17:03:16,https://live.staticflickr.com/7619/16294081203_4a71394521_b.jpg
4.597,78.28,98.3,15.2,,24.562619,-81.814413,2005-11-30 11:45:42,https://live.staticflickr.com/3207/2887135143_7bd5bccc75_b.jpg
2.964,61.13,49.2,20.7,,48.832040,-3.489747,2009-07-23 20:06:39,https://live.staticflickr.com/3524/3761515160_2dc213684b_b.jpg
1.326,69.01,27.4,10.0,,28.109840,-15.436820,2011-06-12 21:49:03,https://live.staticflickr.com/5120/5837266828_edd08d39e0_b.jpg
4.123,93.25,60.7,16.0,,45.508341,-122.666783,2018-02-02 20:53:25,https://live.staticflickr.com/4614/40412383191_f40f1b9f90_b.jpg
5.877,81.24,36.1,15.4,,52.904767,4.714668,2013-08-21 20:49:19,https://live.staticflickr.com/5529/9563528767_701876bc54_b.jpg
3.903,84.47,13.8,24.5,,55.548236,-1.633081,2018-03-29 17:45:13,https://live.staticflickr.com/885/40442713854_f87533c8e2_b.jpg
3.689,64.99,70.0,10.0,,-34.380513,-55.076020,2016-11-19 19:28:49,https://live.staticflickr.com/559/31603222996_aea5bf79f2_b.jpg
3.118,70.46,89.0,10.5,,6.290351,99.726716,2010-02-12 19:18:58,https://live.staticflickr.com/4102/4828968509_99df2dfabf_b.jpg
2.918,47.54,81.1,24.4,,44.917409,13.765439,2016-03-25 16:14:24,https://live.staticflickr.com/1552/26001811276_26966d640e_b.jpg
4.043,62.16,17.3,47.9,,53.295901,-6.151013,2009-06-24 20:44:06,https://live.staticflickr.com/2586/3664962287_6083d9c8e0_b.jpg
2.234,82.24,31.0,16.0,,24.963338,-80.583686,2008-09-26 19:39:34,https://live.staticflickr.com/2394/2891589838_39163a2c5a_b.jpg
4.296,77.62,3.0,10.0,,22.370336,114.107136,2012-09-03 19:01:08,https://live.staticflickr.com/8312/8062173971_be1d9fbce2_b.jpg
7.397,98.55,0.0,13.4,,34.012005,-118.496651,2017-03-11 03:26:40,https://live.staticflickr.com/4399/36329926401_1ac440aa7b_b.jpg
7.0,60.21,0.0,16.0,,38.166381,-84.530010,2021-02-20 16:48:34,https://live.staticflickr.com/65535/51005017620_9f8f3b060e_b.jpg
2.527,85.45,0.0,13.0,,58.632919,11.269847,2014-06-15 22:16:55,https://live.staticflickr.com/3880/14541005145_f7c3aa18c0_b.jpg
4.627,42.9,12.8,10.0,,29.199898,-13.467006,2018-05-06 15:19:24,https://live.staticflickr.com/1762/29403407268_13034b4695_b.jpg
